Date,Open,High,Low,Close,Volume
03-12-2021,275,295.5,262.27,264.5,"2,58,45,900"
03-11-2021,241.64,281.5,232.6,260,"2,83,12,490"
03-10-2021,269.43,348.5,172,265,"7,15,70,570"
03-09-2021,217.71,249.85,208.51,246.9,"3,90,99,328"
03-08-2021,154.89,210.87,146.1,194.5,"6,35,65,621"
03-05-2021,128.17,151.53,127.5,137.74,"3,07,33,670"
03-04-2021,125,147.87,115.3,132.35,"3,26,06,891"
03-03-2021,122.51,127.75,113.12,124.18,"1,92,73,881"
03-02-2021,116.93,133.2,112.2,118.18,"3,37,83,039"
03-01-2021,104.54,133.99,99.97,120.4,"4,97,93,969"
02/26/2021,117.46,142.9,86,101.74,"9,21,94,148"
02/25/2021,169.56,184.68,101,108.73,"15,03,08,797"
02/24/2021,44.7,91.71,44.7,91.71,"8,31,11,742"
02/23/2021,44.97,46.23,40,44.97,"75,65,215"
02/22/2021,46.69,48.51,42.4,46,"1,94,76,020"
02/19/2021,41.28,43.89,38.5,40.59,"1,48,28,240"
02/18/2021,48.49,48.87,40.65,40.69,"2,39,90,561"
02/17/2021,49.77,51.19,44.56,45.94,"92,60,795"
02/16/2021,52.66,53.5,49.04,49.51,"81,75,030"
02-12-2021,50.75,55.24,48.05,52.4,"1,45,73,260"
02-11-2021,50.01,55.32,48.22,51.1,"1,30,56,730"
02-10-2021,50.77,62.83,46.55,51.2,"3,64,55,039"
02-09-2021,56.61,57,46.52,50.31,"2,68,43,080"
02-08-2021,72.41,72.66,58.02,60,"2,56,87,279"
02-05-2021,54.04,95,51.09,63.77,"8,13,45,008"
02-04-2021,91.19,91.5,53.33,53.5,"6,24,27,281"
02-03-2021,112.01,113.4,85.25,92.41,"4,26,98,512"
02-02-2021,140.76,158,74.22,90,"7,81,83,070"
02-01-2021,316.56,322,212,225,"3,73,82,152"
01/29/2021,379.71,413.98,250,325,"5,05,66,059"
01/28/2021,265,483,112.25,193.6,"5,88,15,809"
01/27/2021,354.83,380,249,347.51,"9,33,96,672"
01/26/2021,88.56,150,80.2,147.98,"17,85,88,000"
01/25/2021,96.73,159.18,61.13,76.79,"17,78,74,000"
01/22/2021,42.59,76.76,42.32,65.01,"19,71,57,906"
01/21/2021,39.23,44.75,37,43.03,"5,70,79,754"
01/20/2021,37.37,41.19,36.06,39.12,"3,34,71,789"
01/19/2021,41.55,45.52,36.64,39.36,"7,47,21,922"
01/15/2021,38.49,40.75,34.01,35.5,"4,68,66,359"
01/14/2021,38.09,43.06,33.05,39.91,"9,37,17,406"
01/13/2021,20.42,38.65,20.03,31.4,"14,45,01,703"
01-12-2021,19.96,20.4,19.32,19.95,"70,60,665"
01-11-2021,19.41,20.65,19.01,19.94,"1,49,27,610"
01-08-2021,18.18,18.3,17.08,17.69,"64,81,960"
01-07-2021,18.47,19.45,18.02,18.08,"61,29,276"
01-06-2021,17.34,18.98,17.33,18.36,"60,56,248"
01-05-2021,17.35,18.08,17.23,17.37,"49,61,457"
01-04-2021,19,19.1,17.15,17.25,"1,00,22,470"
12/31/2020,19.25,19.8,18.8,18.84,"69,22,652"
12/30/2020,19.38,20,18.85,19.26,"59,34,391"
12/29/2020,20.82,21.07,18.56,19.38,"92,41,441"
12/28/2020,21.31,21.97,20.35,20.99,"89,65,858"
12/24/2020,21.01,21.48,19.95,20.15,"62,62,174"
12/23/2020,20.17,22.35,19.13,20.57,"2,58,30,260"
12/22/2020,16.22,20.04,16.15,19.46,"3,06,87,721"
12/21/2020,15.81,16.35,15.28,15.53,"98,76,128"
12/18/2020,15.78,16.3,15.18,15.63,"1,66,18,779"
12/17/2020,13.96,14.98,13.59,14.83,"81,94,902"
12/16/2020,13.96,14.31,13.58,13.85,"58,65,123"
12/15/2020,12.78,14.02,12.48,13.85,"81,92,856"
12/14/2020,13.34,13.43,12.14,12.72,"1,00,07,090"
12-11-2020,13.91,14,13.02,13.31,"74,96,868"
12-10-2020,13.12,14.41,13.05,14.12,"75,58,922"
12-09-2020,13.92,14.73,13.23,13.66,"2,43,57,939"
12-08-2020,16.37,17.21,15.93,16.94,"1,61,20,160"
12-07-2020,17,17.5,16.22,16.35,"73,86,258"
12-04-2020,16.3,17.29,16.26,16.9,"89,72,672"
12-03-2020,16.48,16.64,15.87,16.12,"62,94,965"
12-02-2020,15.7,16.68,15.38,16.58,"78,83,380"
12-01-2020,17.11,17.4,15.76,15.8,"1,26,66,030"
11/30/2020,18.17,19.42,16.56,16.56,"3,19,83,500"
11/27/2020,15.29,16.74,14.88,16.08,"1,25,04,200"
11/25/2020,13.6,15.25,13.42,14.75,"88,60,092"
11/24/2020,14.23,14.26,13.3,13.67,"71,86,710"
11/23/2020,12.9,14.12,12.67,13.9,"96,07,973"
11/20/2020,12.55,13.46,12.54,12.71,"84,02,347"
11/19/2020,11.6,12.79,11.45,12.46,"1,17,87,610"
11/18/2020,11.8,12.04,11.56,11.57,"31,69,222"
11/17/2020,11.65,11.92,11.23,11.63,"66,78,176"
11/16/2020,11.16,12.66,10.72,12.06,"97,74,824"
11/13/2020,11.36,11.55,11,11.01,"35,46,171"
11-12-2020,11.74,11.87,10.97,11.13,"43,55,892"
11-11-2020,11.5,11.95,11.21,11.75,"48,82,569"
11-10-2020,11.5,11.66,10.83,11.1,"38,25,963"
11-09-2020,12.76,12.93,11.25,11.49,"62,44,865"
11-06-2020,11.52,12.17,11.32,11.86,"55,18,243"
11-05-2020,11.27,11.84,11.06,11.45,"47,05,245"
11-04-2020,11.76,11.77,10.61,10.91,"58,07,871"
11-03-2020,10.75,11.86,10.63,11.57,"74,54,472"
11-02-2020,10.82,11.09,10.5,10.75,"52,27,011"
10/30/2020,11.64,11.64,10.36,10.47,"1,15,62,370"
10/29/2020,11.88,12.25,11.68,11.73,"41,65,843"
10/28/2020,12.27,13.05,11.78,11.82,"63,88,580"
10/27/2020,13.71,13.71,12.36,12.69,"72,31,006"
10/26/2020,14.93,15.45,13.26,13.45,"1,33,76,270"
10/23/2020,15.05,15.38,14.55,15,"65,07,324"
10/22/2020,14.2,15.87,14.19,14.91,"1,62,12,230"
10/21/2020,13.9,14.42,13.8,14.1,"53,61,928"
10/20/2020,14.03,14.14,13.67,13.86,"66,03,951"
10/19/2020,13.44,14.5,13.38,13.91,"1,31,69,070"
10/16/2020,13.77,13.9,13.08,13.31,"1,16,51,580"
10/15/2020,11.99,15.1,11.99,13.83,"3,98,94,820"
10/14/2020,12.67,12.68,12.05,12.25,"1,07,76,760"
10/13/2020,11.73,12.42,11.65,11.88,"1,01,79,710"
10-12-2020,11.66,12.77,11.4,11.8,"2,36,55,699"
10-09-2020,12.83,14.8,11.9,12.02,"7,71,52,781"
10-08-2020,9.54,13.64,9.19,13.49,"7,64,53,562"
10-07-2020,9.23,9.56,9.17,9.36,"33,08,644"
10-06-2020,9.56,9.84,9.1,9.13,"45,35,421"
10-05-2020,9.44,9.59,9.25,9.46,"28,04,969"
10-02-2020,9.38,9.78,9.3,9.39,"43,40,484"
10-01-2020,10.09,10.25,9.69,9.77,"45,54,055"
09/30/2020,10.25,10.76,10.06,10.2,"60,79,033"
09/29/2020,10,10.65,9.93,10.35,"52,44,339"
09/28/2020,10.16,10.26,9.55,10.09,"67,64,323"
09/25/2020,9.19,10.18,9.1,10.02,"75,15,157"
09/24/2020,9.71,9.81,9.01,9.14,"79,38,838"
09/23/2020,10.6,10.86,9.92,10.04,"1,06,51,150"
09/22/2020,10.45,11.17,9.9,10.56,"3,47,52,480"
09/21/2020,9.35,9.6,8.38,8.75,"76,39,806"
09/18/2020,9.2,9.77,8.91,9.47,"1,74,07,510"
09/17/2020,8.57,9.77,8.41,9.2,"1,70,26,721"
09/16/2020,7.03,9.04,7.03,8.68,"1,93,46,510"
09/15/2020,6.86,7.26,6.69,7.09,"57,43,489"
09/14/2020,6.8,7,6.43,6.91,"1,01,18,970"
09-11-2020,6.26,6.33,5.87,6.09,"60,61,190"
09-10-2020,6.65,6.95,6.19,6.23,"1,55,58,280"
09-09-2020,7.96,7.99,7.31,7.35,"90,68,082"
09-08-2020,7.55,8.28,7.48,7.7,"98,16,620"
09-04-2020,7.78,7.92,7.17,7.65,"76,61,994"
09-03-2020,7.88,8.45,7.24,7.82,"1,43,44,500"
09-02-2020,7.8,8.05,7.11,7.71,"1,30,11,110"
09-01-2020,7.3,7.82,6.77,7.65,"2,32,11,051"
08/31/2020,5.77,7.15,5.69,6.68,"3,79,76,000"
08/28/2020,5.3,5.57,5.22,5.39,"42,36,926"
08/27/2020,5.11,5.38,5.02,5.25,"33,84,658"
08/26/2020,4.97,5.22,4.92,5.11,"27,79,664"
08/25/2020,4.88,5.25,4.88,4.98,"29,98,678"
08/24/2020,5.1,5.13,4.56,4.87,"45,85,366"
08/21/2020,4.6,5.6,4.6,5.03,"1,06,42,590"
08/20/2020,4.62,4.68,4.51,4.61,"24,41,184"
08/19/2020,4.8,4.84,4.64,4.72,"26,12,583"
08/18/2020,4.61,4.87,4.44,4.81,"38,34,840"
08/17/2020,4.78,4.78,4.56,4.63,"23,70,970"
08/14/2020,4.6,4.83,4.55,4.75,"34,74,692"
08/13/2020,4.52,4.71,4.5,4.64,"21,28,313"
08-12-2020,4.4,4.63,4.36,4.52,"30,57,594"
08-11-2020,4.43,4.57,4.34,4.35,"31,39,105"
08-10-2020,4.2,4.57,4.18,4.33,"45,61,772"
08-07-2020,4.39,4.4,4.06,4.16,"33,41,099"
08-06-2020,4.6,4.66,4.38,4.43,"19,01,224"
08-05-2020,4.5,4.76,4.25,4.63,"49,25,697"
08-04-2020,4.13,4.74,4.13,4.43,"1,03,61,360"
08-03-2020,4.03,4.25,4,4.15,"25,18,010"
07/31/2020,4.06,4.16,3.99,4.01,"18,79,553"
07/30/2020,4,4.23,3.97,4.1,"23,98,485"
07/29/2020,3.94,4.18,3.92,4.06,"28,79,626"
07/28/2020,3.96,4.05,3.92,3.94,"45,55,392"
07/27/2020,4.02,4.12,3.95,4.01,"24,72,696"
07/24/2020,4.06,4.23,4.01,4.03,"22,16,295"
07/23/2020,4.09,4.31,4.06,4.11,"32,37,550"
07/22/2020,4.02,4.12,3.92,4.11,"25,23,547"
07/21/2020,3.9,4.09,3.88,4.01,"33,41,012"
07/20/2020,3.95,4.06,3.77,3.85,"34,01,088"
07/17/2020,4.16,4.23,3.94,3.96,"30,66,549"
07/16/2020,4.19,4.2,4.09,4.17,"13,30,461"
07/15/2020,4.13,4.29,4.13,4.19,"14,74,126"
07/14/2020,4.22,4.31,4.07,4.08,"22,61,589"
07/13/2020,4.35,4.55,4.26,4.26,"42,16,265"
07-10-2020,4.2,4.38,4.18,4.34,"14,10,828"
07-09-2020,4.27,4.32,4.13,4.21,"19,92,621"
07-08-2020,4.1,4.29,4.03,4.26,"20,52,829"
07-07-2020,4.2,4.25,4.06,4.09,"24,56,970"
07-06-2020,4.31,4.34,4.19,4.24,"21,40,879"
07-02-2020,4.49,4.51,4.29,4.29,"18,87,751"
07-01-2020,4.31,4.5,4.31,4.44,"23,04,101"
06/30/2020,4.33,4.51,4.2,4.34,"38,89,029"
06/29/2020,4.35,4.52,4.3,4.38,"21,31,330"
06/26/2020,4.48,4.5,4.27,4.35,"38,01,155"
06/25/2020,4.33,4.54,4.3,4.46,"24,50,936"
06/24/2020,4.83,4.84,4.38,4.41,"29,76,209"
06/23/2020,4.95,4.99,4.8,4.83,"32,05,372"
06/22/2020,4.79,4.95,4.72,4.87,"31,78,966"
06/19/2020,4.95,5.08,4.69,4.88,"73,65,867"
06/18/2020,4.67,4.95,4.65,4.95,"34,23,827"
06/17/2020,4.54,4.83,4.53,4.76,"35,93,466"
06/16/2020,4.95,4.95,4.51,4.64,"31,23,535"
06/15/2020,4.5,4.77,4.42,4.69,"39,10,385"
06-12-2020,4.6,4.78,4.39,4.72,"43,78,192"
06-11-2020,4.64,4.9,4.18,4.37,"62,35,993"
06-10-2020,4.78,5.53,4.68,5.07,"1,06,06,370"
06-09-2020,5,5,4.55,4.96,"80,73,448"
06-08-2020,4.28,5.14,4.27,5.01,"1,01,33,660"
06-05-2020,4.29,4.41,4.09,4.14,"62,74,428"
06-04-2020,4.44,4.72,4.37,4.47,"35,14,299"
06-03-2020,4.24,4.52,4.2,4.44,"30,37,424"
06-02-2020,4.27,4.31,4.06,4.18,"23,69,780"
06-01-2020,4.12,4.36,4.02,4.13,"26,18,424"
05/29/2020,4.33,4.42,4.05,4.06,"39,73,540"
05/28/2020,4.75,4.76,4.3,4.33,"21,84,367"
05/27/2020,4.57,4.71,4.36,4.69,"31,46,603"
05/26/2020,4.34,4.61,4.33,4.42,"35,45,926"
05/22/2020,4.46,4.49,4.13,4.18,"23,79,851"
05/21/2020,4.45,4.65,4.4,4.44,"19,71,906"
05/20/2020,4.5,4.69,4.34,4.43,"25,43,609"
05/19/2020,4.58,4.75,4.37,4.44,"18,40,732"
05/18/2020,4.4,4.63,4.36,4.58,"23,71,694"
05/15/2020,4.05,4.45,4.04,4.22,"19,40,704"
05/14/2020,4.15,4.19,3.96,4.13,"20,04,868"
05/13/2020,4.54,4.54,4.07,4.21,"28,82,877"
05-12-2020,4.78,4.92,4.46,4.54,"26,39,157"
05-11-2020,4.92,4.96,4.75,4.76,"16,99,158"
05-08-2020,4.88,5.19,4.82,4.98,"23,53,661"
05-07-2020,4.83,4.94,4.65,4.87,"25,01,195"
05-06-2020,5.4,5.4,4.9,4.93,"33,69,640"
05-05-2020,5.55,5.63,5.35,5.39,"21,05,919"
05-04-2020,5.84,5.93,5.4,5.48,"40,68,105"
05-01-2020,5.65,6.18,5.45,6.05,"40,05,598"
04/30/2020,5.87,5.98,5.64,5.73,"21,73,530"
04/29/2020,5.83,6.09,5.45,6.04,"33,70,045"
04/28/2020,5.92,6.04,5.06,5.64,"52,00,189"
04/27/2020,4.85,5.99,4.81,5.82,"72,75,138"
04/24/2020,4.78,4.85,4.66,4.77,"22,36,544"
04/23/2020,4.75,4.89,4.58,4.7,"22,65,853"
04/22/2020,5.14,5.17,4.83,4.89,"26,78,133"
04/21/2020,5.23,5.3,4.76,4.78,"41,42,050"
04/20/2020,4.85,5.9,4.78,5.61,"60,85,011"
04/17/2020,5.22,5.28,4.43,4.88,"56,53,188"
04/16/2020,5.12,5.44,4.88,5.03,"33,71,921"
04/15/2020,5.66,5.67,4.9,5.27,"74,99,854"
04/14/2020,5.21,6.47,5.14,5.95,"1,35,06,630"
04/13/2020,4.25,4.76,4.16,4.74,"68,44,501"
04-09-2020,3.6,4.25,3.49,3.89,"59,08,916"
04-08-2020,3.23,3.67,3.2,3.41,"28,84,528"
04-07-2020,3.39,3.44,3.1,3.27,"28,36,859"
04-06-2020,2.86,3.2,2.83,3.09,"33,31,070"
04-03-2020,2.85,2.94,2.57,2.8,"38,30,761"
04-02-2020,3.26,3.35,2.85,2.85,"40,64,339"
04-01-2020,3.45,3.49,3.12,3.25,"45,68,695"
03/31/2020,3.63,3.8,3.5,3.5,"23,04,132"
03/30/2020,4.22,4.27,3.65,3.65,"33,50,571"
03/27/2020,4.94,5.09,4.15,4.22,"70,24,763"
03/26/2020,4.24,4.71,4.24,4.41,"62,10,979"
03/25/2020,4.15,4.49,4.04,4.17,"35,92,059"
03/24/2020,3.95,4.21,3.89,4.16,"68,05,659"
03/23/2020,3.58,3.86,3.5,3.81,"60,09,784"
03/20/2020,4.08,4.08,3.65,3.76,"77,22,194"
03/19/2020,3.71,4.2,3.55,4.19,"50,39,539"
03/18/2020,4.1,4.25,3.5,3.77,"36,51,709"
03/17/2020,4.4,4.65,4.11,4.23,"35,62,210"
03/16/2020,3.93,4.57,3.9,4.37,"48,66,696"
